COD;EMPRESA;ANO;EMPRESA/ANO; Receitas ; Vendas de Mercadorias, Produtos e Serviços ; Outras Receitas ; Receitas refs. à Construção de Ativos Próprios ; Provisão/Reversão de Créds. Liquidação Duvidosa ; Insumos Adquiridos de Terceiros ; Custos Prods., Mercs. e Servs. Vendidos ; Materiais, Energia, Servs. de Terceiros e Outros ; Perda/Recuperação de Valores Ativos ; Outrus ; Valor Adicionado Bruto ; Retenções ; Depreciação, Amortização e Exaustão ; Outris ; Valor Adicionado Líquido Produzido ; Valor Adicionado Recebido em Transferência ; Resultado de Equivalência Patrimonial ; Receitas Financeiras ; Outres ; Valor Adicionado Total a Distribuir ; Distribuição do Valor Adicionado ; Pessoal ; Remuneração Direta ; Benefícios ; F.G.T.S. ; Outrxs ; Impostos, Taxas e Contribuições ; Federais ; Estaduais ; Municipais ; Remuneração de Capitais de Terceiros ; Juros ; Aluguéis ; Outras ; Remuneração de Capitais Próprios ; Juros sobre o Capital Próprio ; Dividendos ; Lucros Retidos / Prejuízo do Período ; Part. Não Controladores nos Lucros Retidos ; Outros ;
QVQP3B;524 Particip;2008;524 Particip2008;0;0;0;0;0;-105;0;-105;0;0;-105;0;0;0;-105;41;0;41;0;-64;-64;0;0;0;0;0;1;1;0;0;0;0;0;0;-65;0;0;-65;0;0;
QVQP3B;524 Particip;2009;524 Particip2009;0;0;0;0;0;-118;0;-118;0;0;-118;0;0;0;-118;28;0;28;0;-90;-90;0;0;0;0;0;44;44;0;0;0;0;0;0;-134;0;0;-134;0;0;
QVQP3B;524 Particip;2010;524 Particip2010;49908;0;0;0;49908;-46926;0;-90;-46836;0;2982;0;0;0;2982;99;0;99;0;3081;3081;0;0;0;0;0;45;45;0;0;0;0;0;0;3036;0;0;3036;0;0;
QVQP3B;524 Particip;2011;524 Particip2011;0;0;0;0;0;-111;0;-111;0;0;-111;0;0;0;-111;48;0;48;0;-63;-63;0;0;0;0;0;6;6;0;0;0;0;0;0;-69;0;0;-69;0;0;
QVQP3B;524 Particip;2012;524 Particip2012;532;0;0;0;532;-138;0;-138;0;0;394;0;0;0;394;80;0;80;0;474;474;0;0;0;0;0;6;6;0;0;0;0;0;0;468;0;0;468;0;0;
QVQP3B;524 Particip;2013;524 Particip2013;152;0;0;0;152;-82;0;-82;0;0;70;0;0;0;70;32;0;32;0;102;102;0;0;0;0;0;7;7;0;0;0;0;0;0;95;0;0;95;0;0;
QVQP3B;524 Particip;2014;524 Particip2014;0;0;0;0;0;-179;0;-93;0;-86;-179;0;0;0;-179;39;0;39;0;-140;-140;0;0;0;0;0;11;11;0;0;0;0;0;0;-151;0;0;-151;0;0;
QVQP3B;524 Particip;2015;524 Particip2015;0;0;0;0;0;-92;0;-92;0;0;-92;0;0;0;-92;28;0;28;0;-64;-64;0;0;0;0;0;9;9;0;0;0;0;0;0;-73;0;0;-73;0;0;
QVQP3B;524 Particip;2016;524 Particip2016;0;0;0;0;0;-98;0;-98;0;0;-98;0;0;0;-98;19;0;19;0;-79;-79;0;0;0;0;0;20;20;0;0;0;0;0;0;-99;0;0;-99;0;0;
QVQP3B;524 Particip;2017; ;0;0;0;0;0;-97;0;-97;0;0;-97;0;0;0;-97;6;0;6;0;-91;-91;0;0;0;0;0;59;59;0;0;0;0;0;0;-150;0;0;-150;0;0;
